sample_id,seed,p_new_multiplier,n_robots,gamma_r_scale,lambda_loss,alpha,congestion_tolerance,final_net_energy_per_robot,throughput_per_robot,mean_collision_probability,mean_weighted_search_rest_ratio,final_strategy_entropy,mean_strategy_entropy_final_window
72,7,3.00390625,64,1.265625,2.9375,0.6015625,0.031093750000000003,287.3828125,0.00298828125,0.048617602861693594,1.175836299620294,0.7696863910053151,0.7550939747368717
73,7,1.12890625,64,1.265625,2.9375,0.6015625,0.031093750000000003,-2222.44921875,0.00119140625,0.04370546901154506,1.265215506696192,0.6413100347906922,0.628390398999179
75,7,3.00390625,64,1.046875,2.9375,0.6015625,0.031093750000000003,342.765625,0.0029296875,0.03856150282281774,1.2831504423469589,0.8046567364915844,0.7732223310238581
74,7,3.00390625,128,1.265625,2.9375,0.6015625,0.031093750000000003,-89.529296875,0.00255859375,0.08856645274825717,1.2518865667446655,0.8062813770810621,0.8400330690686575
76,7,3.00390625,64,1.265625,4.4375,0.6015625,0.031093750000000003,58.546875,0.00283203125,0.048327390438053314,1.1937595319029257,0.6198510517794988,0.6571512545672542
77,7,3.00390625,64,1.265625,2.9375,0.6640625,0.031093750000000003,851.30078125,0.00328125,0.047335732500434234,1.2086720241034348,0.790532281691464,0.7765291561685705
78,7,3.00390625,64,1.265625,2.9375,0.6015625,0.04515625000000001,643.31640625,0.00328125,0.050108433598653884,1.2041618002135988,0.742353557890316,0.7029942219402574
80,7,3.94140625,32,0.515625,3.9375,0.7265625,0.05359375000000001,4328.921875,0.005390625,0.009153289572280432,1.2585035214652438,0.822765522645095,0.8342515777110114
81,7,3.94140625,32,0.515625,3.9375,0.7265625,0.05359375000000001,4328.921875,0.005390625,0.009153289572280432,1.2585035214652438,0.822765522645095,0.8342515777110114
79,7,1.12890625,128,1.046875,4.4375,0.6640625,0.04515625000000001,-2115.55859375,0.00111328125,0.06701089169138089,1.2693581004356154,0.6814145432076328,0.6725460650147151
83,7,3.94140625,32,1.296875,3.9375,0.7265625,0.05359375000000001,5608.390625,0.0061328125,0.02238146953535506,1.243529743343211,0.8347618366706804,0.8600704927420599
82,7,3.94140625,64,0.515625,3.9375,0.7265625,0.05359375000000001,106.95703125,0.0030078125,0.020964559135956053,1.264860424313018,0.7901720817567991,0.7187332410176475
84,7,3.94140625,32,0.515625,3.4375,0.7265625,0.05359375000000001,3637.4765625,0.005,0.009336866095521052,1.2450451210769327,0.8682549615043405,0.8886438055935151
85,7,3.94140625,32,0.515625,3.9375,0.5390625,0.05359375000000001,4248.921875,0.0053125,0.009029413099860675,1.2254657224352519,0.7816677643142398,0.770983085103381
86,7,3.94140625,32,0.515625,3.9375,0.7265625,0.022656250000000003,4328.921875,0.005390625,0.009153289572280432,1.2585035214652438,0.822765522645095,0.8342515777110114
87,7,3.94140625,64,1.296875,3.4375,0.5390625,0.022656250000000003,2794.18359375,0.00447265625,0.04802671926838265,1.2464866910834211,0.8368050768393844,0.8443607215596728
88,7,2.06640625,128,1.015625,1.9375,0.9765625,0.09859375000000001,-2270.17578125,0.001640625,0.08556354097902041,1.2273741277396246,0.8917638641419495,0.9241905469547775
90,7,2.06640625,16,1.015625,1.9375,0.9765625,0.09859375000000001,4045.3125,0.005234375,0.008528565920682397,1.2525234390172266,1.195228732234673,1.1883034276664992
89,7,2.06640625,128,1.015625,1.9375,0.9765625,0.09859375000000001,-2270.17578125,0.001640625,0.08556354097902041,1.2273741277396246,0.8917638641419495,0.9241905469547775
91,7,2.06640625,128,0.796875,1.9375,0.9765625,0.09859375000000001,-2569.845703125,0.001455078125,0.06718238714793466,1.2082092814371916,0.8560980750268352,0.9110697264700705
92,7,2.06640625,128,1.015625,1.4375,0.9765625,0.09859375000000001,-2174.04296875,0.00173828125,0.08683003869176208,1.2187283803818685,1.0476400752674748,1.112290666299141
93,7,2.06640625,128,1.015625,1.9375,0.7890625,0.09859375000000001,-2517.681640625,0.001494140625,0.08584504551036908,1.198699152946765,0.8392685609464395,0.834334842685496
95,7,2.06640625,16,0.796875,1.4375,0.7890625,0.06765625,3852.984375,0.005,0.0062974468482924996,1.2613090714812178,1.2350023822568743,1.2388556908130917
94,7,2.06640625,128,1.015625,1.9375,0.9765625,0.06765625,-2005.611328125,0.001748046875,0.08375035846315228,1.209498176522152,0.918451568034851,0.9695919632283632
96,7,1.59765625,64,1.390625,1.4375,0.9140625,0.06484375,-1068.74609375,0.00234375,0.058165087109145884,1.2221337955367813,1.0939315978498159,1.1328726793677446
97,7,3.47265625,64,1.390625,1.4375,0.9140625,0.06484375,1925.8671875,0.00408203125,0.05507425531274082,1.2211427568205824,1.1857736677097548,1.207754789857766
99,7,1.59765625,64,1.421875,1.4375,0.9140625,0.06484375,-1134.37109375,0.00228515625,0.0590453938717293,1.2223517771802062,1.1081495279956104,1.153243601632744
98,7,1.59765625,128,1.390625,1.4375,0.9140625,0.06484375,-1655.921875,0.001708984375,0.1030950229717045,1.2003713910425864,1.1122605610648082,1.165695146242827
100,7,1.59765625,64,1.390625,4.9375,0.9140625,0.06484375,-1610.203125,0.0020703125,0.059668705646863544,1.2066460515286017,0.9527581761182842,0.6852453020834192
101,7,1.59765625,64,1.390625,1.4375,0.6015625,0.06484375,-1819.9140625,0.0019140625,0.059091939385919154,1.1928342014017141,1.0045386819056237,1.0526866185614474
102,7,1.59765625,64,1.390625,1.4375,0.9140625,0.056406250000000005,-1809.421875,0.0018359375,0.05711512012802071,1.2444002190710022,1.100140799422575,1.146474258635382
103,7,3.47265625,128,1.421875,4.9375,0.6015625,0.056406250000000005,209.69921875,0.00275390625,0.0998854925332596,1.3052802360607796,0.8008467589999586,0.7761399017000327
104,7,3.47265625,128,0.890625,3.4375,0.6640625,0.01984375,-451.4453125,0.0023828125,0.06377902293634322,1.3018286143016662,0.7739547653194006,0.7673718306240573
106,7,3.47265625,32,0.890625,3.4375,0.6640625,0.01984375,3648.4453125,0.005,0.01607674335701212,1.2898309004307902,0.9020102241939881,0.913979307557687
105,7,1.59765625,128,0.890625,3.4375,0.6640625,0.01984375,-1957.9609375,0.001240234375,0.05786722747628653,1.2351934662000537,0.6544708229848153,0.6836550864879143
107,7,3.47265625,128,0.921875,3.4375,0.6640625,0.01984375,-184.283203125,0.00259765625,0.06749940735747524,1.2412677126422509,0.8365656837039981,0.8016240263009116
108,7,3.47265625,128,0.890625,2.9375,0.6640625,0.01984375,-597.087890625,0.002333984375,0.06501364587153738,1.2587550699176375,0.735875166145984,0.7803433004539724
109,7,3.47265625,128,0.890625,3.4375,0.8515625,0.01984375,-399.17578125,0.002421875,0.0639762856435758,1.2731746597785047,0.8214880551444933,0.8113649951961353
111,7,1.59765625,32,0.921875,2.9375,0.8515625,0.01140625,-869.9765625,0.0021875,0.01672942986742685,1.3045470095998195,0.879162952033872,0.8356882088865288
110,7,3.47265625,128,0.890625,3.4375,0.6640625,0.01140625,-451.4453125,0.0023828125,0.06377902293634322,1.3018286143016662,0.7739547653194006,0.7673718306240573
112,7,2.53515625,32,1.140625,2.4375,0.5390625,0.042343750000000006,1450.578125,0.0037890625,0.0221894260309922,1.1932342146295867,0.8849467919135232,0.8522237565576029
113,7,2.53515625,32,1.140625,2.4375,0.5390625,0.042343750000000006,1450.578125,0.0037890625,0.0221894260309922,1.1932342146295867,0.8849467919135232,0.8522237565576029
114,7,2.53515625,64,1.140625,2.4375,0.5390625,0.042343750000000006,40.53125,0.00291015625,0.04524253171047848,1.262678310258782,0.7758738657963591,0.7774462612235985
115,7,2.53515625,32,0.671875,2.4375,0.5390625,0.042343750000000006,1270.1953125,0.00359375,0.01258922442484297,1.228138102449555,0.8681487330826831,0.8713530731094606
116,7,2.53515625,32,1.140625,1.9375,0.5390625,0.042343750000000006,1628.734375,0.0038671875,0.0218644333465543,1.206993667657982,1.0090391836049777,1.0169421076325196
117,7,2.53515625,32,1.140625,2.4375,0.9765625,0.042343750000000006,1521.2265625,0.0038671875,0.02252544285250404,1.197484760799667,1.0284868386465822,1.027379045682907
118,7,2.53515625,32,1.140625,2.4375,0.5390625,0.033906250000000006,1870.515625,0.003984375,0.021527799673663032,1.2235306589749066,0.7905318588790107,0.844300187509565
119,7,2.53515625,64,0.671875,1.9375,0.9765625,0.033906250000000006,-695.89453125,0.002421875,0.02635078240342498,1.2502072164588656,0.9982913636535897,1.044847929982176
120,7,0.66015625,64,0.640625,4.4375,0.7890625,0.08734375,-3629.23046875,0.000859375,0.02801644361469765,1.2670394760982342,1.046993256095345,0.6285653848406646
121,7,0.66015625,64,0.640625,4.4375,0.7890625,0.08734375,-3629.23046875,0.000859375,0.02801644361469765,1.2670394760982342,1.046993256095345,0.6285653848406646
123,7,0.66015625,64,1.171875,4.4375,0.7890625,0.08734375,-3811.77734375,0.00076171875,0.05154099995559211,1.3206589951866994,1.063411439791473,0.6288813042293405
122,7,0.66015625,128,0.640625,4.4375,0.7890625,0.08734375,-3963.52734375,0.0006640625,0.055534663051282095,1.2311292938150573,1.0988517818371266,0.6259989310053453
124,7,0.66015625,64,0.640625,3.9375,0.7890625,0.08734375,-3514.31640625,0.00091796875,0.027882013059892793,1.2742392255356791,1.0255846534120132,0.6717637338526936
125,7,0.66015625,64,0.640625,4.4375,0.7265625,0.08734375,-3629.23046875,0.000859375,0.02801644361469765,1.2675038894169561,1.0415274384197268,0.6239525688731409
126,7,0.66015625,64,0.640625,4.4375,0.7890625,0.07890625,-3629.23046875,0.000859375,0.02801644361469765,1.2670394760982342,1.046993256095345,0.6285653848406646
128,7,0.54296875,32,1.296875,1.5625,0.7109375,0.01703125,-2956.46875,0.000625,0.020633936386831087,1.1882404166200793,1.0118851000329259,1.077419862844061
129,7,1.24609375,32,1.296875,1.5625,0.7109375,0.01703125,-1154.921875,0.00203125,0.023777970090376296,1.2199571121533375,1.0783845314433966,1.1010232627173613
127,7,0.66015625,128,1.171875,3.9375,0.7265625,0.07890625,-3598.6484375,0.00087890625,0.10105571258926632,1.3010725352726087,1.0510924802582269,0.6093580011405814
131,7,0.54296875,32,1.015625,1.5625,0.7109375,0.01703125,-2360.3046875,0.0010546875,0.016658551226960975,1.1787874456292198,1.0320292248477914,1.101140055590896
130,7,0.54296875,64,1.296875,1.5625,0.7109375,0.01703125,-2887.1796875,0.00064453125,0.04187272105410587,1.1565436873083343,0.9713088480669678,1.032344595327339
132,7,0.54296875,32,1.296875,1.5625,0.7109375,0.01703125,-2956.46875,0.000625,0.020633936386831087,1.1882404166200793,1.0118851000329259,1.077419862844061
133,7,0.54296875,32,1.296875,1.5625,0.7421875,0.01703125,-2956.46875,0.000625,0.020633936386831087,1.1883186847928187,1.022829567335246,1.0870514234987199
134,7,0.54296875,32,1.296875,1.5625,0.7109375,0.06484375,-2860.90625,0.0012890625,0.027373770201047427,1.2925627226927134,0.9207683953253978,0.9690728228737878
135,7,1.24609375,64,1.015625,1.5625,0.7421875,0.06484375,-2800.5859375,0.001328125,0.0435648612113661,1.194970873946406,0.9628226711122776,1.0061367283635039
136,7,2.41796875,128,0.796875,3.5625,0.9609375,0.06203125000000001,-2078.14453125,0.00177734375,0.06769238076566861,1.2481486226568836,0.9321752719159768,0.7394934931128258
137,7,3.12109375,128,0.796875,3.5625,0.9609375,0.06203125000000001,-1242.6796875,0.00224609375,0.06630417603817827,1.2153455334747618,0.8831655722502217,0.7768893005337202
138,7,2.41796875,128,0.796875,3.5625,0.9609375,0.06203125000000001,-2078.14453125,0.00177734375,0.06769238076566861,1.2481486226568836,0.9321752719159768,0.7394934931128258
139,7,2.41796875,128,0.515625,3.5625,0.9609375,0.06203125000000001,-2423.865234375,0.001572265625,0.043924722338403346,1.1999489709531712,0.9392796108806429,0.7105308008449234
140,7,2.41796875,128,0.796875,3.5625,0.9609375,0.06203125000000001,-2078.14453125,0.00177734375,0.06769238076566861,1.2481486226568836,0.9321752719159768,0.7394934931128258
141,7,2.41796875,128,0.796875,3.5625,0.9921875,0.06203125000000001,-1899.78125,0.001875,0.06734309735192452,1.2471215845756498,0.9052759399935958,0.72375507572743
142,7,2.41796875,128,0.796875,3.5625,0.9609375,0.01984375,-1827.6328125,0.001396484375,0.05375049375665714,1.2109353016400002,0.7356548874155383,0.7720205287014693
143,7,3.12109375,128,0.515625,3.5625,0.9921875,0.01984375,-1865.48046875,0.00158203125,0.038325628231420286,1.2339083634287022,0.8064492754570876,0.7521127437303065
144,7,3.35546875,64,1.046875,2.5625,0.8359375,0.08453125,895.3125,0.0034765625,0.0421355947555086,1.2364871689338233,0.9391016459598962,0.9234167669007836
145,7,0.30859375,64,1.046875,2.5625,0.8359375,0.08453125,-4002.25,0.00056640625,0.04465234905143284,1.08986377792357,0.7793299455102254,0.575041361265651
146,7,3.35546875,64,1.046875,2.5625,0.8359375,0.08453125,895.3125,0.0034765625,0.0421355947555086,1.2364871689338233,0.9391016459598962,0.9234167669007836
147,7,3.35546875,64,0.765625,2.5625,0.8359375,0.08453125,131.9765625,0.00306640625,0.03166761757955386,1.1768457252949696,0.9328233135623607,0.9187795337050875
148,7,3.35546875,64,1.046875,4.5625,0.8359375,0.08453125,1120.06640625,0.00365234375,0.042757122623827463,1.2545850726321917,0.7280251783408092,0.6904111363553851
149,7,3.35546875,64,1.046875,2.5625,0.8671875,0.08453125,-54.45703125,0.002890625,0.042264301700931275,1.205212651854253,0.9574249185798188,0.9117254071029963
150,7,3.35546875,64,1.046875,2.5625,0.8359375,0.042343750000000006,950.1328125,0.00341796875,0.040478485692736425,1.2427169727310783,0.9307377990006599,0.9686043420771164
151,7,0.30859375,64,0.765625,4.5625,0.8671875,0.042343750000000006,-3883.71484375,0.000625,0.032479003699304815,1.2400680888314168,1.118499056339458,0.6293122974025052
152,7,1.48046875,128,0.546875,4.5625,0.5859375,0.039531250000000004,-2849.490234375,0.00107421875,0.04251110076094335,1.2797336175985803,0.8256535338526398,0.5938959616908402
154,7,1.48046875,32,0.546875,4.5625,0.5859375,0.039531250000000004,-1501.1484375,0.0020703125,0.011230642544905104,1.3290391797824586,0.7114397387170973,0.627841091482627
153,7,2.18359375,128,0.546875,4.5625,0.5859375,0.039531250000000004,-1798.791015625,0.0016796875,0.04163099927959069,1.2671228135702075,0.763296635670987,0.6445120865026417
155,7,1.48046875,128,1.265625,4.5625,0.5859375,0.039531250000000004,-1889.384765625,0.00130859375,0.08325268007759588,1.2478452116122163,0.5952130034110987,0.6673191302434384
156,7,1.48046875,128,0.546875,2.5625,0.5859375,0.039531250000000004,-2700.654296875,0.00115234375,0.042249384159487466,1.225264168617535,0.759882020471043,0.627950232083408
157,7,1.48046875,128,0.546875,4.5625,0.6171875,0.039531250000000004,-2758.080078125,0.001142578125,0.04270732893882315,1.2719870113528182,0.7682689325479756,0.5727746300064469
158,7,1.48046875,128,0.546875,4.5625,0.5859375,0.08734375,-3196.66796875,0.001123046875,0.047174798137891265,1.2806226341370044,0.9583708455858821,0.6105153153530882
159,7,2.18359375,32,1.265625,2.5625,0.6171875,0.08734375,725.046875,0.0033203125,0.024442592462622342,1.250508653525519,0.8022919992086028,0.8328802924666173
160,7,1.94921875,64,0.921875,4.0625,0.5234375,0.02828125,-1282.5390625,0.00203125,0.03578392968590112,1.2771060727393815,0.6380808737788813,0.66174304499627
