sample_id,seed,p_new_multiplier,n_robots,gamma_r_scale,lambda_loss,alpha,congestion_tolerance,final_net_energy_per_robot,throughput_per_robot,mean_collision_probability,mean_weighted_search_rest_ratio,final_strategy_entropy,mean_strategy_entropy_final_window
300,8,3.677734375,128,0.7734375,1.78125,0.69140625,0.031796875,-880.40625,0.0023828125,0.05760023360466456,1.2041863777302866,0.95567927285913,0.9640392545863001
301,7,3.677734375,128,0.7734375,1.90625,0.98046875,0.031796875,-1052.92578125,0.0022330729166666666,0.055688420713145274,1.214583622705431,1.0128254415210298,1.0146374663512374
301,8,3.677734375,128,0.7734375,1.90625,0.98046875,0.031796875,-418.6484375,0.002506510416666667,0.05588006471878349,1.223169009218946,0.976070195375655,1.0106578982823105
307,7,2.740234375,8,0.8828125,4.90625,0.56640625,0.05429687500000001,15336.9375,0.0084375,0.0019987193282424336,1.3944376519048556,0.7935655262523558,0.8151276621033526
302,7,3.677734375,128,0.7734375,1.90625,0.69140625,0.026171875000000004,-517.26953125,0.002415364583333333,0.054645116691552656,1.2045617478603767,0.9999004047745481,1.0052221805542423
302,8,3.677734375,128,0.7734375,1.90625,0.69140625,0.026171875000000004,-71.326171875,0.0026953125,0.05698807182524272,1.206886433950373,0.9993992378758003,1.0145044505131993
308,7,2.740234375,8,1.0234375,2.78125,0.56640625,0.05429687500000001,15098.46875,0.008333333333333333,0.0023372857217016665,1.3460244100406988,0.8557077128495212,0.8808572197917727
307,8,2.740234375,8,0.8828125,4.90625,0.56640625,0.05429687500000001,14090.59375,0.007916666666666667,0.001989763330923669,1.2127641110318361,0.9577963921542028,0.9604855790920229
306,7,2.740234375,64,1.0234375,4.90625,0.56640625,0.05429687500000001,829.2578125,0.0032682291666666667,0.04132170653729114,1.2330158527678317,0.8921332452615138,0.8359655600493613
306,8,2.740234375,64,1.0234375,4.90625,0.56640625,0.05429687500000001,-129.19921875,0.002890625,0.04168925970976864,1.2133697286715448,0.7939501353583256,0.7382546786747888
308,8,2.740234375,8,1.0234375,2.78125,0.56640625,0.05429687500000001,13746.96875,0.0077083333333333335,0.002106254257865091,1.1470561744038936,0.851352030836594,0.8728524072384842
303,7,2.212890625,128,0.6328125,1.78125,0.98046875,0.026171875000000004,-3040.697265625,0.0013020833333333333,0.04339971293848168,1.1854161324593966,0.9256575170247059,0.9257099331334253
309,7,2.740234375,8,1.0234375,4.90625,0.85546875,0.05429687500000001,15098.46875,0.008333333333333333,0.0023372857217016665,1.351340659723764,0.8179678188044205,0.8378311045926343
309,8,2.740234375,8,1.0234375,4.90625,0.85546875,0.05429687500000001,14504.53125,0.008125,0.0023135461728172367,1.322770380125252,0.9368862465372603,0.938983118427097
310,8,2.740234375,8,1.0234375,4.90625,0.56640625,0.048671875,14613.09375,0.008125,0.0022090601341164,1.2265855829446692,0.889123166749652,0.9078535688375166
303,8,2.212890625,128,0.6328125,1.78125,0.98046875,0.026171875000000004,-2981.74609375,0.0013216145833333333,0.04329799339876245,1.202615939644833,0.9358394538977179,0.9791312457443776
310,7,2.740234375,8,1.0234375,4.90625,0.56640625,0.048671875,15098.46875,0.008333333333333333,0.0023372857217016665,1.3475260381654721,0.7873146616029274,0.8027327482925593
314,7,0.865234375,32,0.5234375,2.90625,0.81640625,0.099296875,-4229.9921875,0.0012239583333333334,0.010648263018907051,1.1818595440561424,1.2080972948080504,1.0016362183993286
314,8,0.865234375,32,0.5234375,2.90625,0.81640625,0.099296875,-4079.8984375,0.0013020833333333333,0.010714211155880768,1.2149043129934858,1.0899139943456324,1.0886028403666603
311,8,1.275390625,64,0.8828125,2.78125,0.85546875,0.048671875,-3495.00390625,0.0015364583333333333,0.036655812501028194,1.247650154298829,1.0658370735258513,1.0392944685984533
311,7,1.275390625,64,0.8828125,2.78125,0.85546875,0.048671875,-3394.890625,0.0015755208333333333,0.03662428480734566,1.1397524591706107,1.0077503945943826,0.9560901371329059
312,7,0.865234375,64,0.5234375,2.90625,0.81640625,0.099296875,-5395.08203125,0.0007942708333333334,0.02214746763971889,1.2137840718662618,1.2578082019872738,1.1586017047543211
312,8,0.865234375,64,0.5234375,2.90625,0.81640625,0.099296875,-5068.09765625,0.0009244791666666667,0.0221002491599798,1.2241723356144043,1.1666989469462203,1.101449562903379
313,7,3.150390625,64,0.5234375,2.90625,0.81640625,0.099296875,-1088.31640625,0.002486979166666667,0.02128634494367797,1.1940898992234952,0.9282849701764513,0.8932828565873854
315,7,0.865234375,64,1.3828125,2.90625,0.81640625,0.099296875,-4009.99609375,0.0013802083333333333,0.05872851561205814,1.2356825563842255,1.0825613311384799,1.0744742466565018
313,8,3.150390625,64,0.5234375,2.90625,0.81640625,0.099296875,-490.875,0.002734375,0.021276133200402003,1.2022911394860833,0.9390390744733877,0.9289087849448795
315,8,0.865234375,64,1.3828125,2.90625,0.81640625,0.099296875,-3961.33984375,0.0013802083333333333,0.05823235358586904,1.1975934531441774,1.0462980660783363,1.0235174851293027
319,7,3.150390625,32,1.3828125,4.78125,0.60546875,0.093671875,6206.8203125,0.005286458333333333,0.024731210207750712,1.2182175770038897,0.7426073719749583,0.7838075879434263
319,8,3.150390625,32,1.3828125,4.78125,0.60546875,0.093671875,6607.7890625,0.005364583333333333,0.023674444532999685,1.1726403956348024,0.7562220227069649,0.7697708951123555
316,7,0.865234375,64,0.5234375,4.78125,0.81640625,0.099296875,-5519.56640625,0.00078125,0.022486081859489023,1.2504521155891184,1.295812096944101,1.3007255760164709
316,8,0.865234375,64,0.5234375,4.78125,0.81640625,0.099296875,-5256.625,0.0008723958333333333,0.02233797785221503,1.181997069939577,1.285297944244838,1.195253873258245
317,7,0.865234375,64,0.5234375,2.90625,0.60546875,0.099296875,-5283.65234375,0.0008463541666666667,0.022192980640042867,1.2007293429267425,1.219532284335747,1.164950989706654
317,8,0.865234375,64,0.5234375,2.90625,0.60546875,0.099296875,-5230.51171875,0.0008984375,0.022480481286544785,1.1673943463176408,1.1670091729454828,1.1445682489988946
318,8,0.865234375,64,0.5234375,2.90625,0.81640625,0.093671875,-5068.09765625,0.0009244791666666667,0.0221002491599798,1.2241723356144043,1.1666989469462203,1.101449562903379
