method,sample_id,seed,perturbation,n_robots,gamma_r_scale,alpha,lambda_loss,congestion_tolerance,p_new_multiplier,sector_decay,sector_reward,sector_pull,final_net_energy,final_net_energy_per_robot,throughput,throughput_per_robot,mean_collision_probability,mean_weighted_search_rest_ratio,mean_active_fraction,total_completed_deposit,total_collisions
morris,2,7,alpha,64,1.488960147681885,0.8576543491177995,1.6408481354313782,0.06512856438457278,0.4147825298551876,0.0007136055754719228,1.1510554354748979,0.18648241013011566,-457989.5,-7156.0859375,0.043333333333333335,0.0006770833333333334,0.063525474957123,1.22042919313518,0.5675729166666666,65.0,9586.0
morris,2,8,alpha,64,1.488960147681885,0.8576543491177995,1.6408481354313782,0.06512856438457278,0.4147825298551876,0.0007136055754719228,1.1510554354748979,0.18648241013011566,-423204.0,-6612.5625,0.054,0.00084375,0.06313545667374929,1.2172589726816532,0.53978125,81.0,9721.0
morris,2,9,alpha,64,1.488960147681885,0.8576543491177995,1.6408481354313782,0.06512856438457278,0.4147825298551876,0.0007136055754719228,1.1510554354748979,0.18648241013011566,-470142.75,-7345.98046875,0.04,0.000625,0.06379343677575895,1.2328772222026498,0.5498958333333334,60.0,9839.0
morris,2,7,lambda_loss,64,1.488960147681885,0.6076543491177995,3.640848135431378,0.06512856438457278,0.4147825298551876,0.0007136055754719228,1.1510554354748979,0.18648241013011566,-400426.0,-6256.65625,0.06266666666666666,0.0009791666666666666,0.06360036708098663,1.2594252705819748,0.5417708333333333,94.0,9641.0
morris,2,8,lambda_loss,64,1.488960147681885,0.6076543491177995,3.640848135431378,0.06512856438457278,0.4147825298551876,0.0007136055754719228,1.1510554354748979,0.18648241013011566,-486051.75,-7594.55859375,0.038,0.00059375,0.06504187715289257,1.238533427953103,0.54978125,57.0,10308.0
morris,2,9,lambda_loss,64,1.488960147681885,0.6076543491177995,3.640848135431378,0.06512856438457278,0.4147825298551876,0.0007136055754719228,1.1510554354748979,0.18648241013011566,-466829.75,-7294.21484375,0.043333333333333335,0.0006770833333333334,0.06468105032810217,1.2266393884935625,0.5508020833333334,65.0,9943.0
morris,2,7,congestion_tolerance,64,1.488960147681885,0.6076543491177995,1.6408481354313782,0.02012856438457277,0.4147825298551876,0.0007136055754719228,1.1510554354748979,0.18648241013011566,-279437.75,-4366.21484375,0.04733333333333333,0.0007395833333333333,0.04171470901907997,1.1731024568807993,0.347125,71.0,4996.0
morris,2,8,congestion_tolerance,64,1.488960147681885,0.6076543491177995,1.6408481354313782,0.02012856438457277,0.4147825298551876,0.0007136055754719228,1.1510554354748979,0.18648241013011566,-327705.5,-5120.3984375,0.03133333333333333,0.0004895833333333333,0.041746621820469024,1.1948290789067109,0.3489791666666667,47.0,4996.0
morris,2,9,congestion_tolerance,64,1.488960147681885,0.6076543491177995,1.6408481354313782,0.02012856438457277,0.4147825298551876,0.0007136055754719228,1.1510554354748979,0.18648241013011566,-311396.75,-4865.57421875,0.04133333333333333,0.0006458333333333333,0.043557886798694684,1.163875359310233,0.36892708333333335,62.0,5411.0
morris,2,7,p_new_multiplier,64,1.488960147681885,0.6076543491177995,1.6408481354313782,0.06512856438457278,2.2897825298551875,0.0007136055754719228,1.1510554354748979,0.18648241013011566,66371.5,1037.0546875,0.20933333333333334,0.0032708333333333335,0.06017050422948663,1.1971067146745529,0.5260833333333333,314.0,8675.0
morris,2,8,p_new_multiplier,64,1.488960147681885,0.6076543491177995,1.6408481354313782,0.06512856438457278,2.2897825298551875,0.0007136055754719228,1.1510554354748979,0.18648241013011566,1551.5,24.2421875,0.19066666666666668,0.002979166666666667,0.061334086766223,1.2896149794347345,0.5439166666666667,286.0,8974.0
morris,2,9,p_new_multiplier,64,1.488960147681885,0.6076543491177995,1.6408481354313782,0.06512856438457278,2.2897825298551875,0.0007136055754719228,1.1510554354748979,0.18648241013011566,-14795.75,-231.18359375,0.18133333333333335,0.0028333333333333335,0.05979091916955462,1.2248846171134047,0.5272708333333334,272.0,8702.0
morris,2,7,sector_decay,64,1.488960147681885,0.6076543491177995,1.6408481354313782,0.06512856438457278,0.4147825298551876,0.010713605575471923,1.1510554354748979,0.18648241013011566,-444307.5,-6942.3046875,0.05,0.00078125,0.0643165522856162,1.2467088485246565,0.587125,75.0,9989.0
morris,2,8,sector_decay,64,1.488960147681885,0.6076543491177995,1.6408481354313782,0.06512856438457278,0.4147825298551876,0.010713605575471923,1.1510554354748979,0.18648241013011566,-447557.75,-6993.08984375,0.04733333333333333,0.0007395833333333333,0.06371796539852563,1.1961955249250917,0.5478020833333334,71.0,9850.0
